index,file,host,n_obs,rms_over_sigma
0,UID_0000522_RVC_001.tbl,HD 142,53,1.1646166520340027
1,UID_0000522_RVC_002.tbl,HD 142,27,0.837692448479424
2,UID_0001292_RVC_001.tbl,GJ 3021,61,1.8763154763848466
3,UID_0001499_RVC_001.tbl,HD 1461,136,3.551844060787638
4,UID_0001499_RVC_002.tbl,HD 1461,28,2.2130783891547807
5,UID_0001640_RVC_001.tbl,2MASS J00203151+3058293,28,
6,UID_0001640_RVC_002.tbl,2MASS J00203151+3058293,28,
7,UID_0001931_RVC_001.tbl,HD 2039,41,4.51939395805977
8,UID_0001931_RVC_002.tbl,HD 2039,36,1.940090435039577
9,UID_0002350_RVC_001.tbl,HD 2638,28,1.9228250817996837
10,UID_0002611_RVC_001.tbl,HD 2952,63,4.957405615910292
11,UID_0003093_RVC_001.tbl,54 Psc,42,1.882634001767141
12,UID_0003093_RVC_002.tbl,54 Psc,121,2.1205090859907902
13,UID_0003093_RVC_003.tbl,HD 3651,26,1.594476513695851
14,UID_0003093_RVC_004.tbl,HD 3651,112,1.963718049426806
15,UID_0003093_RVC_005.tbl,HD 3651,83,3.7804592732006825
16,UID_0003093_RVC_006.tbl,HD 3651,35,1.3312713599792776
17,UID_0003093_RVC_007.tbl,HD 3651,4,3.790495542649838e-08
18,UID_0003093_RVC_008.tbl,HD 3651,54,2.9565367127759874
19,UID_0003093_RVC_009.tbl,HD 3651,29,2.7126159620502133
20,UID_0003093_RVC_010.tbl,HD 3651,139,3.705599328641637
21,UID_0003093_RVC_011.tbl,HD 3651,16,1.463858325441851
22,UID_0003479_RVC_001.tbl,HD 4208,41,1.0995610640210405
23,UID_0003479_RVC_002.tbl,HD 4208,35,1.192301655268807
24,UID_0003497_RVC_001.tbl,HD 4308,72,3.294694929152778
25,UID_0003497_RVC_002.tbl,HD 4308,41,1.344111990260691
26,UID_0003502_RVC_001.tbl,HD 4203,23,3.3616079586494423
27,UID_0003502_RVC_002.tbl,HD 4203,14,1.1560562493912576
28,UID_0003574_RVC_001.tbl,HD 4313,28,2.865427216645474
29,UID_0003834_RVC_001.tbl,HD 4732,48,2.0516445513191064
30,UID_0004297_RVC_001.tbl,HD 5319,30,2.642398900051975
31,UID_0004552_RVC_001.tbl,HD 5608,43,1.9525556108308761
32,UID_0005054_RVC_001.tbl,HD 6434,130,1.715922802306765
33,UID_0006379_RVC_001.tbl,HD 7924,93,3.225056850452237
34,UID_0006643_RVC_001.tbl,HD 8574,10,2.879367526517034
35,UID_0006643_RVC_002.tbl,HD 8574,16,1.3660587685478045
36,UID_0006643_RVC_003.tbl,HD 8574,41,1.870461716255699
37,UID_0006643_RVC_004.tbl,HD 8574,44,1.4231263645474956
38,UID_0006643_RVC_005.tbl,HD 8574,16,1.8486588418692167
39,UID_0007513_RVC_001.tbl,HR 458,52,1.6123776643090042
40,UID_0007513_RVC_002.tbl,HR 458,89,1.9632469270300699
41,UID_0007513_RVC_003.tbl,Ups And,268,2.0243165786336914
42,UID_0007513_RVC_004.tbl,ups And,248,2.2673260069480325
43,UID_0007513_RVC_005.tbl,Ups And,71,2.174967271171433
44,UID_0007513_RVC_006.tbl,ups And,41,1.549495530534212
45,UID_0007513_RVC_007.tbl,ups And,284,2.360605876507776
46,UID_0007513_RVC_008.tbl,HD 9826,8,0.9444235493206504
47,UID_0007513_RVC_009.tbl,HD 9826,312,5.531775364982145
48,UID_0007513_RVC_010.tbl,HD 9826,17,1.5488281514393467
49,UID_0007978_RVC_001.tbl,HD 10647,28,1.7419537539587415
50,UID_0008102_RVC_001.tbl,HD 10700,191,3.6986721494290706
51,UID_0008102_RVC_002.tbl,HD 10700,87,3.356118488737971
52,UID_0008102_RVC_003.tbl,HD 10700,535,4.3880643040546765
53,UID_0008102_RVC_004.tbl,HD 10700,95,0.9752509573256897
54,UID_0008159_RVC_001.tbl,HD 10697,59,2.3528337736592406
55,UID_0008159_RVC_002.tbl,HD 10697,35,2.076201620101379
56,UID_0008159_RVC_003.tbl,HD 10697,40,0.975058572362348
57,UID_0008159_RVC_004.tbl,HD 10697,32,1.2026297628235365
58,UID_0008770_RVC_001.tbl,HD 11506,26,3.0103979367166556
59,UID_0009094_RVC_001.tbl,HD 11964,87,1.5729539765903369
60,UID_0009094_RVC_002.tbl,HD 11964,119,2.673759631181709
61,UID_0009683_RVC_001.tbl,HD 12661,57,3.022683060651282
62,UID_0009683_RVC_002.tbl,HD 12661,51,1.5881011281441633
63,UID_0009683_RVC_003.tbl,HD 12661,15,0.8952053430790704
64,UID_0009683_RVC_004.tbl,HD 12661,20,1.8408100223401764
65,UID_0009683_RVC_005.tbl,HD 12661,45,2.4648577365467457
66,UID_0009683_RVC_006.tbl,HD 12661,41,1.49519894501011
67,UID_0009683_RVC_007.tbl,HD 12661,66,6.079998724472519
68,UID_0009683_RVC_008.tbl,HD 12661,40,1.6421135652706964
69,UID_0009884_RVC_001.tbl,alpha Ari,678,2.830491505160788
70,UID_0010138_RVC_001.tbl,GJ 86,23,0.8895751452093215
71,UID_0010138_RVC_002.tbl,GJ 86,42,1.5531383319102108
72,UID_0010138_RVC_003.tbl,Gl 86,24,6.624878643539799
73,UID_0011397_RVC_001.tbl,WASP-33,29,1.225784440595547
74,UID_0011791_RVC_001.tbl,75 Cet,74,2.2825021349572467
75,UID_0012048_RVC_001.tbl,79 Ceti,71,1.6144383516417913
76,UID_0012048_RVC_002.tbl,HD 16141,46,1.344050596238796
77,UID_0012186_RVC_001.tbl,HD 16417,78,3.559316448509147
78,UID_0012186_RVC_002.tbl,HD 16417,10,2.3156084343222263
79,UID_0012191_RVC_001.tbl,HD 16175,44,4.25482800259429
80,UID_0012247_RVC_001.tbl,81 Cet,33,1.8002777523596714
81,UID_0012653_RVC_001.tbl,HD 17051,13,1.9966880795328115
82,UID_0012653_RVC_002.tbl,Iota Horologii,25,3.57823537124285
83,UID_0012653_RVC_003.tbl,Iota Hor,95,1.5209483276293922
84,UID_0012653_RVC_004.tbl,Iota Hor,26,1.3478844316063223
85,UID_0012961_RVC_001.tbl,HIP 12961,46,1.5487920583153207
86,UID_0013192_RVC_001.tbl,HD 17156,29,1.7803027517294847
87,UID_0013192_RVC_002.tbl,HD 17156,13,0.7813808566980547
88,UID_0013192_RVC_003.tbl,HD 17156,18,1.1729145498084494
89,UID_0013192_RVC_004.tbl,HD 17156,24,2.0137094538128233
90,UID_0013192_RVC_005.tbl,HD 17156,9,0.7630459272626682
91,UID_0013192_RVC_006.tbl,HD 17156,25,0.9244520343500894
92,UID_0013192_RVC_007.tbl,HD 17156,34,2.3505150012058342
93,UID_0013192_RVC_008.tbl,HD 17156,9,0.763027675821813
94,UID_0014810_RVC_001.tbl,HIP 14810,30,4.4104740606526285
95,UID_0014810_RVC_002.tbl,HIP 14810,53,2.214432703547486
96,UID_0014954_RVC_001.tbl,HD 19994,48,2.246450216602389
97,UID_0014954_RVC_002.tbl,HD 19994,56,1.5891772507498518
98,UID_0014954_RVC_003.tbl,HD 19994,12,1.828143275985176
99,UID_0014954_RVC_004.tbl,HD 19994,82,3.8678052423170635
100,UID_0014954_RVC_005.tbl,HD 19994,16,1.881076567991207
101,UID_0015527_RVC_001.tbl,HD 20782,30,0.9190018502327699
102,UID_0015578_RVC_001.tbl,HD 20868,48,29.216786737922263
103,UID_0016537_RVC_001.tbl,Epsilon Eridani,33,1.1343512833887563
104,UID_0016537_RVC_002.tbl,Epsilon Eridani,120,2.7564512784765385
105,UID_0016537_RVC_003.tbl,Epsilon Eridani,33,1.2163848479042947
106,UID_0016537_RVC_004.tbl,HD 22049,61,8.630578615773262
107,UID_0016537_RVC_005.tbl,HD 22049,127,6.149514910632255
108,UID_0016537_RVC_006.tbl,HD 22049,49,2.216959736543548
109,UID_0017054_RVC_001.tbl,HD 23127,34,2.721583387790817
110,UID_0017096_RVC_001.tbl,HD 23079,19,0.9526840415625384
111,UID_0017096_RVC_002.tbl,HD 23079,14,0.7093165434611037
112,UID_0017187_RVC_001.tbl,HD 22781,32,1.7966594013617316
113,UID_0017747_RVC_001.tbl,HD 23596,39,1.060040798192829
114,UID_0017747_RVC_002.tbl,HD 23596,63,0.8441812198376161
115,UID_0017747_RVC_003.tbl,HD 23596,6,0.34044606432930413
116,UID_0019921_RVC_001.tbl,HD 27442,14,1.3702012307832339
117,UID_0019921_RVC_002.tbl,Epsilon Reticuli,55,3.068635240070469
118,UID_0020277_RVC_001.tbl,HD 27894,20,0.0024079672872693615
119,UID_0020723_RVC_001.tbl,HD 28185,15,1.8987320064117645
120,UID_0020723_RVC_002.tbl,HD 28185,40,1.3510153869659163
121,UID_0020723_RVC_003.tbl,HD 28185,34,0.8326044090093729
122,UID_0020889_RVC_001.tbl,Epsilon Tauri,20,1.7230441948523192
123,UID_0021850_RVC_001.tbl,HD 30177,22,1.1109955787254693
124,UID_0021850_RVC_002.tbl,HD 30177,15,1.3732121420907515
125,UID_0021932_RVC_001.tbl,GJ 176,41,2.7025893827238496
126,UID_0021932_RVC_002.tbl,GJ 176,28,1.673877760885097
127,UID_0021932_RVC_003.tbl,GJ 176,57,3.109746292556405
128,UID_0021932_RVC_004.tbl,2MASS J04425581+1857285,29,
129,UID_0021932_RVC_005.tbl,2MASS J04425581+1857285,29,
130,UID_0022336_RVC_001.tbl,HD 30562,45,1.4155682805151633
131,UID_0022627_RVC_001.tbl,GJ 179,14,1.295408326777728
132,UID_0022627_RVC_002.tbl,GJ 179,30,2.9178305351400624
133,UID_0022826_RVC_001.tbl,HD 31253,39,2.732129630809781
134,UID_0023889_RVC_001.tbl,HD 33283,25,1.936784906570528
135,UID_0024003_RVC_001.tbl,HD 32518,58,2.489856874836912
136,UID_0026381_RVC_001.tbl,HD 37124,30,1.0459033114105927
137,UID_0026381_RVC_002.tbl,HD 37124,15,0.6409823304849461
138,UID_0026381_RVC_003.tbl,HD 37124,52,1.1029266670574158
139,UID_0026394_RVC_001.tbl,pi Men,42,1.1174540783302866
140,UID_0026394_RVC_002.tbl,HD 39091,28,1.0392213569679478
141,UID_0026664_RVC_001.tbl,HD 37605,7,1.7485479334288265
142,UID_0026664_RVC_002.tbl,HD 37605,20,17.074148782842013
143,UID_0026664_RVC_003.tbl,HD 37605,98,21.350902300100543
144,UID_0026664_RVC_004.tbl,HD 37605,33,2.024714805344818
145,UID_0027253_RVC_001.tbl,HD 38529,102,0.9105297726290147
146,UID_0027253_RVC_002.tbl,HD 38529,51,3.504877085159589
147,UID_0027253_RVC_003.tbl,HD 38529,111,2.3823811791804266
148,UID_0027253_RVC_004.tbl,HD 38529,23,2.886423331696665
149,UID_0027253_RVC_005.tbl,HD 38529,52,1.183646900270541
150,UID_0027253_RVC_006.tbl,HD 38529,45,2.7022862013609847
151,UID_0027253_RVC_007.tbl,HD 38529,80,1.6960151595672026
152,UID_0027253_RVC_008.tbl,HD 38529,73,1.73668247676354
153,UID_0027253_RVC_009.tbl,HD 38529,7,0.8768137437176357
154,UID_0027253_RVC_010.tbl,HD 38529,58,7.020741876857988
155,UID_0027253_RVC_011.tbl,HD 38529,117,2.8160159039235944
156,UID_0027384_RVC_001.tbl,HD 38801,10,8.814174088995422
157,UID_0027384_RVC_002.tbl,HD 38801,11,1.0651001968263372
158,UID_0027887_RVC_001.tbl,HD 40307,129,2.3895574539293705
159,UID_0028393_RVC_001.tbl,HD 41004A,86,7.445745460743604
160,UID_0028393_RVC_002.tbl,HD 41004A,103,0.9599732019322934
161,UID_0028393_RVC_003.tbl,HD 41004A,149,0.968689566622808
162,UID_0028767_RVC_001.tbl,HD 40979,26,6.146760974104776
163,UID_0028767_RVC_002.tbl,HD 40979,39,2.2695449113031185
164,UID_0028767_RVC_003.tbl,HD 40979,13,1.4354424138979964
165,UID_0028767_RVC_004.tbl,HD 40979,32,2.4479741214668564
166,UID_0028767_RVC_005.tbl,HD 40979,91,1.8074377936907078
167,UID_0028767_RVC_006.tbl,HD 40979,4,5.73017576187944e-09
168,UID_0030057_RVC_001.tbl,HD 43691,22,1.2266929869591454
169,UID_0030057_RVC_002.tbl,HD 43691,14,1.899705821098551
170,UID_0030579_RVC_001.tbl,HD 45364,58,3.6037699065189375
171,UID_0030860_RVC_001.tbl,HD 45350,38,1.517961398773552
172,UID_0030860_RVC_002.tbl,HD 45350,28,0.989220240971678
173,UID_0030860_RVC_003.tbl,HD 45350,45,1.2581390501958105
174,UID_0030860_RVC_004.tbl,HD 45350,30,1.2128097540090836
175,UID_0030905_RVC_001.tbl,HD 45652,19,1.663321230669977
176,UID_0030905_RVC_002.tbl,HD 45652,14,2.121778004781389
177,UID_0030905_RVC_003.tbl,HD 45652,12,1.5546793732971396
178,UID_0031039_RVC_001.tbl,6 Lyn,30,1.634536170045007
179,UID_0031246_RVC_001.tbl,HD 46375,50,1.5961636049026062
180,UID_0031246_RVC_002.tbl,HD 46375,24,1.377019382008614
181,UID_0031540_RVC_001.tbl,HD 47186,66,2.5523438845911444
182,UID_0031592_RVC_001.tbl,7 CMa,21,1.312934808846642
183,UID_0031688_RVC_001.tbl,HD 47536,38,1.0904258368467445
184,UID_0031895_RVC_001.tbl,HD 48265,8,0.3949695447490861
185,UID_0031895_RVC_002.tbl,HD 48265,17,1.5118409281033198
186,UID_0032916_RVC_001.tbl,HD 49674,24,1.408302645220188
187,UID_0032916_RVC_002.tbl,HD 49674,39,1.3908132600123384
188,UID_0032970_RVC_001.tbl,HD 50499,35,1.2838437425140374
189,UID_0033212_RVC_001.tbl,HD 50554,22,5.812111462763936
190,UID_0033212_RVC_002.tbl,HD 50554,29,2.6510245530136567
191,UID_0033212_RVC_003.tbl,HD 50554,11,1.7704682530962255
192,UID_0033212_RVC_004.tbl,HD 50554,15,1.6148651589035485
193,UID_0033212_RVC_005.tbl,HD 50554,41,4.151181269233955
194,UID_0033719_RVC_001.tbl,HD 52265,17,0.7073747444166735
195,UID_0033719_RVC_002.tbl,HD 52265,28,1.8010893455685983
196,UID_0033719_RVC_003.tbl,HD 52265,91,1.1768026673457213
197,UID_0036795_RVC_001.tbl,HD 60532,147,4.323956725952558
198,UID_0037284_RVC_001.tbl,HD 63454,26,1.9459314129291976
199,UID_0037826_RVC_001.tbl,Beta Gem,165,1.5294288017953475
200,UID_0037826_RVC_002.tbl,Beta Gem,19,2.628807919987363
201,UID_0037826_RVC_003.tbl,Beta Gem,32,1.2691030493230007
202,UID_0037826_RVC_004.tbl,Beta Gem,22,2.237218942692239
203,UID_0037826_RVC_005.tbl,Beta Gem,11,2.272765596347573
204,UID_0037826_RVC_006.tbl,Beta Gem,22,3.216162446769751
205,UID_0037826_RVC_007.tbl,Pollux,80,2.390745911745542
206,UID_0038558_RVC_001.tbl,HD 65216,70,1.3410843697326187
207,UID_0039417_RVC_001.tbl,HD 66428,29,1.3531938494327904
208,UID_0040687_RVC_001.tbl,HD 68988,28,5.428792809093996
209,UID_0040687_RVC_002.tbl,HD 68988,13,3.3450036497192897
210,UID_0040687_RVC_003.tbl,HD 68988,6,0.8523948951425403
211,UID_0040693_RVC_001.tbl,HD 69830,74,1.1705334844462487
212,UID_0040693_RVC_002.tbl,HD 69830,106,3.5862208916724554
213,UID_0040693_RVC_003.tbl,HD 69830,31,1.904393641105631
214,UID_0040952_RVC_001.tbl,HD 70642,28,1.6671480789996471
215,UID_0040952_RVC_002.tbl,HD 70642,21,1.2554632824685046
216,UID_0041704_RVC_001.tbl,omicron UMa,26,1.6253472904450539
217,UID_0042030_RVC_001.tbl,HD 72659,12,2.25554787047334
218,UID_0042030_RVC_002.tbl,HD 72659,32,2.940696564263926
219,UID_0042030_RVC_003.tbl,HD 72659,53,0.7851358578288379
220,UID_0042202_RVC_001.tbl,HD 73267,39,1.4343069546810925
221,UID_0042282_RVC_001.tbl,HD 73526,18,1.507132571480269
222,UID_0042282_RVC_002.tbl,HD 73526,30,2.404524179402529
223,UID_0042446_RVC_001.tbl,HD 73534,20,3.2285391358683793
224,UID_0042723_RVC_001.tbl,HD 74156,82,3.335800622453674
225,UID_0042723_RVC_002.tbl,HD 74156,44,1.545819735981101
226,UID_0042723_RVC_003.tbl,HD 74156,51,0.9841573554285317
227,UID_0042723_RVC_004.tbl,HD 74156,82,0.9927348439295021
228,UID_0043177_RVC_001.tbl,HD 75289,13,1.0303437532035271
229,UID_0043177_RVC_002.tbl,HD 75289,30,1.4403660739059259
230,UID_0043177_RVC_003.tbl,HD 75289,88,0.8826165529871864
231,UID_0043587_RVC_001.tbl,55 Cnc,70,5.290895137080099
232,UID_0043587_RVC_002.tbl,55 Cnc,250,2.0119748353030316
233,UID_0043587_RVC_003.tbl,55 Cnc,146,2.227622028312824
234,UID_0043587_RVC_004.tbl,55 Cnc,119,1.0058017551899265
235,UID_0043587_RVC_005.tbl,55 Cnc,48,1.172725282806764
236,UID_0043587_RVC_006.tbl,HD 75732,193,7.470018112098981
237,UID_0043587_RVC_007.tbl,HD 75732,24,2.275166160219458
238,UID_0043587_RVC_008.tbl,HD 75732,274,4.149731326578538
239,UID_0043587_RVC_009.tbl,HD 75732,14,0.5980182899603532
240,UID_0043674_RVC_001.tbl,HD 75898,20,2.6111498859000846
241,UID_0043686_RVC_001.tbl,HD 76700,35,1.5393766595807332
242,UID_0043686_RVC_002.tbl,HD 76700,24,0.9079388215891687
243,UID_0043790_RVC_001.tbl,GJ 328,58,0.9241746584653598
244,UID_0045406_RVC_001.tbl,HD 79498,65,3.4496869209091683
245,UID_0045982_RVC_001.tbl,HD 80606,46,1.1571423012871191
246,UID_0045982_RVC_002.tbl,HD 80606,19,1.2169809279602097
247,UID_0045982_RVC_003.tbl,HD 80606,48,1.4306349376556105
248,UID_0045982_RVC_004.tbl,HD 80606,55,1.3639088348222645
249,UID_0045982_RVC_005.tbl,HD 80606,6,0.8682286023628462
250,UID_0045982_RVC_006.tbl,HD 80606,73,3.1873318534486703
251,UID_0045982_RVC_007.tbl,HD 80606,23,2.948428152360661
252,UID_0045982_RVC_008.tbl,HD 80606,23,0.5491171433828421
253,UID_0046076_RVC_001.tbl,HD 81040,23,1.8847678862343564
254,UID_0046076_RVC_002.tbl,HD 81040,3,4099.800512550537
255,UID_0046471_RVC_001.tbl,HD 81688,81,3.8319398125320747
256,UID_0047007_RVC_001.tbl,HD 82943,23,2.0422356158880435
257,UID_0047202_RVC_001.tbl,HD 83443,16,0.6780762597147838
258,UID_0047202_RVC_002.tbl,HD 83443,20,1.3489593285129151
259,UID_0047202_RVC_003.tbl,HD 83443,23,1.30510904846228
260,UID_0047202_RVC_004.tbl,HD 83443,28,1.326857512900892
261,UID_0047202_RVC_005.tbl,HD 83443,257,1.9483452133304286
262,UID_0048711_RVC_001.tbl,HD 86081,26,1.1645054234556205
263,UID_0048739_RVC_001.tbl,HD 86226,13,1.1581607571662056
264,UID_0048780_RVC_001.tbl,HD 86264,37,1.4331787561480458
265,UID_0049067_RVC_001.tbl,BD -08 2823,83,2.8198863726885914
